"Tidstämpel","Please enter your Steam Community ID","Please rate the following games [The Elder Scrolls V: Skyrim]","Please rate the following games [Rocket League®]","Please rate the following games [Counter-Strike: Global Offensive]","Please rate the following games [Grand Theft Auto V]","Please rate the following games [RimWorld]","Please rate the following games [Tropico 5]","Please rate the following games [The Witcher® 3: Wild Hunt]","Please rate the following games [Football Manager 2017]","Please rate the following games [Sid Meier’s Civilization® VI]","Please rate the following games [The Sims™ 3]","Please rate the following games [Dota 2]","Please rate the following games [XCOM® 2]","Please rate the following games [Tom Clancy's Rainbow Six® Siege]","Please rate the following games [ARK: Survival Evolved]","Please rate the following games [EVE Online]","Please rate the following games [Orcs Must Die!]","Please rate the following games [DOOM]","Please rate the following games [TowerFall Ascension]","Please rate the following games [Worms Ultimate Mayhem]","Please rate the following games [Portal 2]"
"2017/01/27 10:23:49 fm CET","76561198009303080","Liked strongly","Don't own this game","Liked slightly","Liked","Don't own this game","Don't own this game","Liked strongly","Don't own this game","Liked strongly","Liked slightly","Liked slightly","Don't own this game","Don't own this game","Liked","Liked strongly","Don't own this game","Don't own this game","Don't own this game","Don't own this game","Liked strongly"
"2017/01/27 11:59:35 fm CET","76561198048730871","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam"
"2017/01/27 12:04:03 em CET","76561198008911412","Liked strongly","Don't own this game on steam","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam"
"2017/01/27 4:47:20 em CET","76561197986632716","Haven't played / No opinion","Liked slightly","Liked","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked slightly","Haven't played / No opinion","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion"
"2017/01/27 6:45:23 em CET","76561197985590077","Liked strongly","Liked","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/28 1:37:29 fm CET","76561198145307125","Disliked","Liked strongly","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Liked","Disliked strongly","Disliked strongly","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam"
"2017/01/28 2:16:49 fm CET","76561197965297458","Liked strongly","Don't own this game on steam","Haven't played / No opinion","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Haven't played / No opinion","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/28 2:51:28 fm CET","76561198000395695","Don't own this game on steam","Liked","Disliked strongly","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked strongly"
"2017/01/28 5:32:02 fm CET","76561198082098687","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam"
"2017/01/28 12:03:00 em CET","76561198087569261","Haven't played / No opinion","Liked","Liked","Liked","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Disliked strongly","Liked slightly","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Haven't played / No opinion","Liked strongly","Haven't played / No opinion","Liked"
"2017/01/28 3:47:33 em CET","76561197998199940","Liked slightly","Don't own this game on steam","Liked slightly","Don't own this game on steam","Liked strongly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked slightly","Liked","Don't own this game on steam","Don't own this game on steam","Liked strongly","Liked slightly","Don't own this game on steam","Don't own this game on steam","Don't own this game on steam","Liked"
