steamID/appID,steamid,appid,playtime_forever,achievements
76561198008911412/4580,0,4580,0,
76561198008911412/9450,0,9450,0,
76561198008911412/13200,0,13200,964,
76561198008911412/13210,0,13210,1628,0.14035087719298245
76561198008911412/13230,0,13230,146,
76561198008911412/13240,0,13240,47,
76561198008911412/13250,0,13250,2,
76561198008911412/13520,0,13520,983,
76561198008911412/19900,0,19900,1025,
76561198008911412/10500,0,10500,9788,0.3
76561198008911412/9480,0,9480,50,
76561198008911412/15620,0,15620,1142,0.3972602739726027
76561198008911412/21680,0,21680,0,
76561198008911412/21670,0,21670,0,
76561198008911412/4560,0,4560,0,
76561198008911412/9340,0,9340,0,
76561198008911412/20540,0,20540,0,
76561198008911412/228200,0,228200,0,
76561198008911412/10180,0,10180,3821,0.8
76561198008911412/10190,0,10190,60772,
76561198008911412/550,0,550,17211,0.7
76561198008911412/223530,0,223530,0,
76561198008911412/17450,0,17450,0,
76561198008911412/34030,0,34030,6809,0.3380281690140845
76561198008911412/8190,0,8190,69,0.08
76561198008911412/24980,0,24980,0,
76561198008911412/40100,0,40100,0,0.0
76561198008911412/43110,0,43110,1301,0.5
76561198008911412/20570,0,20570,372,0.0821917808219178
76561198008911412/42120,0,42120,7352,0.6097560975609756
76561198008911412/33910,0,33910,78,
76561198008911412/33930,0,33930,10,
76561198008911412/219540,0,219540,1,
76561198008911412/8930,0,8930,0,0.0
76561198008911412/42960,0,42960,35,
76561198008911412/35130,0,35130,0,0.0
76561198008911412/70900,0,70900,0,
76561198008911412/50620,0,50620,1340,0.5348837209302325
76561198008911412/462780,0,462780,0,0.0
76561198008911412/1250,0,1250,21655,0.47719298245614034
76561198008911412/35420,0,35420,105,0.0
76561198008911412/50300,0,50300,457,0.72
76561198008911412/34330,0,34330,6368,0.22641509433962265
76561198008911412/56400,0,56400,643,0.18181818181818182
76561198008911412/44340,0,44340,0,
76561198008911412/57900,0,57900,0,0.0
76561198008911412/7610,0,7610,0,
76561198008911412/7760,0,7760,0,
76561198008911412/42160,0,42160,0,0.0
76561198008911412/206980,0,206980,0,
76561198008911412/55150,0,55150,586,0.3333333333333333
76561198008911412/17710,0,17710,0,0.0
76561198008911412/42680,0,42680,1279,0.3815789473684211
76561198008911412/42690,0,42690,63028,
76561198008911412/67370,0,67370,0,0.0
76561198008911412/203770,0,203770,170,0.0
76561198008911412/201700,0,201700,0,0.0
76561198008911412/108710,0,108710,185,0.1044776119402985
76561198008911412/207170,0,207170,180,0.025
76561198008911412/208670,0,208670,557,0.6285714285714286
76561198008911412/204100,0,204100,2986,0.5074626865671642
76561198008911412/12750,0,12750,0,
76561198008911412/11590,0,11590,0,
76561198008911412/12830,0,12830,17,
76561198008911412/12810,0,12810,0,
76561198008911412/12770,0,12770,15,
76561198008911412/215670,0,215670,0,0.0
76561198008911412/98400,0,98400,563,0.4260869565217391
76561198008911412/209080,0,209080,0,0.0
76561198008911412/50650,0,50650,2465,0.68
76561198008911412/11450,0,11450,0,
76561198008911412/12710,0,12710,0,
76561198008911412/202970,0,202970,816,0.5714285714285714
76561198008911412/202990,0,202990,29887,0.6
76561198008911412/212910,0,212910,22,0.0
76561198008911412/200510,0,200510,1553,0.4823529411764706
76561198008911412/57690,0,57690,0,0.0
76561198008911412/55230,0,55230,2724,0.6144578313253012
76561198008911412/220240,0,220240,1978,
76561198008911412/203140,0,203140,2164,0.851063829787234
76561198008911412/205930,0,205930,124,
76561198008911412/25890,0,25890,0,
