steamID/appID,steamid,appid,playtime_forever,achievements
76561198048730871/17470,181,17470,23,
76561198048730871/24740,181,24740,0,
76561198048730871/24800,181,24800,31,
76561198048730871/23490,181,23490,0,
76561198048730871/17410,181,17410,691,
76561198048730871/42910,181,42910,1981,
76561198048730871/72850,181,72850,12146,
76561198048730871/108800,181,108800,0,
76561198048730871/211420,181,211420,101,
76561198048730871/57690,181,57690,0,
76561198048730871/47790,181,47790,0,
76561198048730871/47830,181,47830,0,
76561198048730871/58520,181,58520,26,
76561198048730871/204560,181,204560,0,
76561198048730871/208730,181,208730,0,
76561198048730871/209730,181,209730,0,
76561198048730871/219780,181,219780,0,
76561198048730871/231140,181,231140,0,
76561198048730871/58610,181,58610,0,
76561198048730871/205650,181,205650,0,
76561198048730871/550,181,550,0,
76561198048730871/223530,181,223530,0,
76561198048730871/224600,181,224600,5494,
76561198048730871/245620,181,245620,2226,
76561198180821795/262060,221,262060,248,
76561198180821795/244160,221,244160,54,
76561198180821795/437900,221,437900,5,
76561198180821795/310380,221,310380,0,
76561198008911412/4580,810,4580,0,
76561198008911412/9450,810,9450,0,
76561198008911412/13200,810,13200,964,
76561198008911412/13210,810,13210,1628,
76561198008911412/13230,810,13230,146,
76561198008911412/13240,810,13240,47,
76561198008911412/13250,810,13250,2,
76561198008911412/13520,810,13520,983,
76561198008911412/19900,810,19900,1025,
76561198008911412/10500,810,10500,9788,
76561198008911412/9480,810,9480,50,
76561198008911412/15620,810,15620,1142,
76561198008911412/21680,810,21680,0,
76561198008911412/21670,810,21670,0,
76561198008911412/4560,810,4560,0,
76561198008911412/9340,810,9340,0,
76561198008911412/20540,810,20540,0,
76561198008911412/228200,810,228200,0,
76561198008911412/10180,810,10180,3821,
76561198008911412/10190,810,10190,60772,
76561198008911412/550,810,550,17211,
76561198008911412/223530,810,223530,0,
76561198008911412/17450,810,17450,0,
76561198008911412/34030,810,34030,6809,
76561198008911412/8190,810,8190,69,
76561198008911412/24980,810,24980,0,
76561198008911412/40100,810,40100,0,
76561198008911412/43110,810,43110,1301,
76561198008911412/20570,810,20570,372,
76561198008911412/42120,810,42120,7352,
76561198008911412/33910,810,33910,78,
76561198008911412/33930,810,33930,10,
76561198008911412/219540,810,219540,1,
76561198008911412/8930,810,8930,0,
76561198008911412/42960,810,42960,35,
76561198008911412/35130,810,35130,0,
76561198008911412/70900,810,70900,0,
76561198008911412/50620,810,50620,1340,
76561198008911412/462780,810,462780,0,
76561198008911412/1250,810,1250,21655,
76561198008911412/35420,810,35420,105,
76561198008911412/50300,810,50300,457,
76561198008911412/34330,810,34330,6368,
76561198008911412/56400,810,56400,643,
